playername,playerid,league,position,teamname,n_games,dpm,damageshare,earnedgoldshare,cspm,jungle_cs_share,deaths_pm,death_share,dmg_taken_pm,kp,kill_ratio,wpm,wcpm,dpm_z,damageshare_z,earnedgoldshare_z,cspm_z,jungle_cs_share_z,deaths_pm_z,death_share_z,dmg_taken_pm_z,kp_z,kill_ratio_z,wpm_z,wcpm_z,cluster,role_cluster,playstyle,pc1,pc2
Jiwoo,oe:player:8643b56ba8000250b81fdaca1d7f06e,LCK,bot,Nongshim RedForce,63,680.9228809523809,0.26229236507936504,0.24322455555555555,8.80897619047619,0.03838548330813074,0.10492927561080154,0.1887141535615171,553.5081317460318,0.6581508515815085,0.4011090573012939,0.42225714285714283,0.2665269841269841,-0.2771522343792554,-0.6822866367650466,-1.556695400200104,-1.2824795543793153,0.11636477794814468,1.8502997451831769,1.02895457083439,1.7727787902973509,-1.5147074310706694,-0.5974713019153739,0.20861038597566153,-1.0241985563880363,0,bot_0,Penopang Bersumber Daya Rendah,-3.209225199320849,1.2859665810510525
LazyFeel,oe:player:a41eb80b5f23627fc710cc41c516e49,LCK,bot,Kiwoom DRX,24,607.1898041666667,0.24222745,0.252299375,8.909670833333333,0.03132395934846165,0.08434108527131783,0.16464891041162227,537.8811375,0.6626506024096386,0.41363636363636364,0.42092916666666663,0.27997916666666667,-1.3096543558442584,-1.9430199271873052,-0.6298186568829389,-1.011587417407731,-0.5058970557220832,0.6656931247184208,-0.006147625352116135,1.342148466415754,-1.3744892091096197,-0.33978134240202756,0.1823723264760018,-0.7733552846885541,0,bot_0,Penopang Bersumber Daya Rendah,-2.5696465480276593,-0.5542297438637647
Sty1e,oe:player:00ff83174dc14ce3f7b17e427b75e7f,LCP,bot,MGN Vikings Esports,17,767.2494294117647,0.262849,0.23580182352941179,8.60294705882353,0.04616030214015946,0.07392049039935095,0.2019704433497537,544.1160470588235,0.7607142857142857,0.30985915492957744,0.4426882352941176,0.35395882352941177,0.9316993192064572,-0.6473117478965784,-2.3148325432062977,-1.836746098935915,0.8014821903513902,0.06611125419144513,1.5991384907566122,1.5139627693083528,1.6813056197883451,-2.474505599539068,0.6122864630385808,0.6061457079506632,0,bot_0,Penopang Bersumber Daya Rendah,-2.306698279220634,1.8886717068741374
Kakkun,oe:player:2caa05c21e7e142214c20319ff97d09,LCP,bot,DetonatioN FocusMe,44,628.0801272727273,0.2562880454545455,0.23996431818181818,8.438472727272726,0.025784563189143343,0.11361606345349959,0.218707015130674,515.6789590909091,0.6992337164750958,0.3452054794520548,0.31073863636363636,0.17560454545454543,-1.0171221048467525,-1.0595544002917718,-1.8896869509312384,-2.2792205135279673,-0.9940289138323192,2.350121546873928,2.3190174505974737,0.730326952396085,-0.23451070719145858,-1.7474224827445017,-1.9947643655253942,-2.7196321353043875,0,bot_0,Penopang Bersumber Daya Rendah,-5.67132336892008,0.8359621139170554
Leemas,oe:player:de6a79c709c8f1a5538dff9c2bf0ed3,LCP,bot,Chiefs Esports Club,15,627.9145599999999,0.2867769333333333,0.2512911333333333,8.547133333333333,0.017245751965508496,0.09800362976406533,0.15625,501.8317,0.6935483870967742,0.3953488372093023,0.3337333333333333,0.2520133333333333,-1.0194405834426337,0.8561455059724673,-0.7327976481673105,-1.9868980726792953,-1.7464693728224108,1.451810816056457,-0.36740433730359784,0.34874047624410426,-0.41167313398797895,-0.715960531969396,-1.5404367717067096,-1.294835060066425,0,bot_0,Penopang Bersumber Daya Rendah,-3.0057612897422703,-0.004448282800930414
Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,LEC,bot,Rogue,29,666.8857931034482,0.28561375862068966,0.24651496551724136,8.655420689655173,0.045314461819427006,0.08929885677837202,0.19361702127659575,551.4608655172414,0.6646706586826348,0.43243243243243246,0.38300689655172415,0.26087241379310344,-0.47371697323227513,0.7830600691786024,-1.2206221055041113,-1.695579760913259,0.7269467002819272,0.950954182303689,1.239838338261107,1.7163626359623758,-1.3115415683002511,0.04685869636749568,-0.5668932001003667,-1.1296395075809966,0,bot_0,Penopang Bersumber Daya Rendah,-2.4011226787211224,1.831643910057749
fishone,oe:player:0dcf834c627e57895f26132ec33d99c,LPL,bot,LNG Esports,16,607.44824375,0.2410461875,0.2363214375,8.65410625,0.02988354207866403,0.09888751545117429,0.1925925925925926,559.895075,0.7058823529411765,0.30128205128205127,0.3355125,0.314775,-1.3060353638030389,-2.0172418689491716,-2.261760621743909,-1.6991159109705694,-0.6328266953683856,1.502667973456798,1.1957752729497244,1.9487826589087518,-0.027330350023402856,-2.6509388592163963,-1.5052841227401106,-0.12451628409547932,0,bot_0,Penopang Bersumber Daya Rendah,-4.883470074623628,0.887813766750021
Photic,oe:player:1c42d9266c8b391c7870b7a39f25a12,LPL,bot,LNG Esports,16,639.66448125,0.293706,0.247458625,8.70906875,0.03648648648648649,0.10007849293563578,0.1969111969111969,539.0150125,0.5971223021582733,0.42168674698795183,0.38646875,0.30098125000000003,-0.8549035920875907,1.2915176460322972,-1.1242393583283385,-1.5512539328569575,-0.050974914038917706,1.5711946282843405,1.3815285099648005,1.3733944597785037,-3.416438219249503,-0.1741828566261837,-0.4984941449016488,-0.38172877499038665,0,bot_0,Penopang Bersumber Daya Rendah,-2.982442294228743,1.7022134748601983
LP,oe:player:233724c5adf28da47784390134db3c6,LPL,bot,LNG Esports,18,644.3695,0.271982,0.2423908888888889,9.23473888888889,0.024434719183078046,0.08577194752774975,0.22666666666666666,488.63835555555556,0.6746411483253588,0.3404255319148936,0.40069444444444446,0.3295777777777778,-0.7890180756724007,-0.07346047088480114,-1.6418437879716214,-0.13707833001196404,-1.1129772330875183,0.7480223082937122,2.661380614537552,-0.014826189343891563,-1.0008478469848383,-1.8457472506061108,-0.21742388179439628,0.15151157956639688,0,bot_0,Penopang Bersumber Daya Rendah,-3.1044721664628203,0.6149696498352624
Baiye,oe:player:2c356e2803d68c33c11e65496fff9bd,LPL,bot,Ultra Prime,28,649.9074857142857,0.281664,0.2570927857142857,9.097539285714285,0.031061368209255532,0.09371964112234984,0.19806763285024154,488.27810714285715,0.7337461300309598,0.4345991561181435,0.4433964285714286,0.2348357142857143,-0.7114683212350444,0.5348859721271381,-0.14023305802469993,-0.5061773470108176,-0.5290365996394005,1.205317985783777,1.4312695149817947,-0.0247534913058502,0.8409420121313884,0.09142876785081393,0.6262788956443802,-1.6151466637189413,0,bot_0,Penopang Bersumber Daya Rendah,-1.5224853259420386,0.39940517271659065
