role,cluster,role_cluster,champion,n_pick,share_cluster,share_role,lift
bot,0,bot_0,Senna,21,0.0451,0.0251,1.796
bot,0,bot_0,Ashe,34,0.073,0.0421,1.732
bot,0,bot_0,Kalista,31,0.0665,0.0406,1.637
bot,0,bot_0,Miss Fortune,48,0.103,0.0884,1.165
bot,0,bot_0,Zeri,12,0.0258,0.0227,1.134
bot,0,bot_0,Sivir,24,0.0515,0.0478,1.077
bot,0,bot_0,Varus,57,0.1223,0.1213,1.008
bot,0,bot_0,Ezreal,47,0.1009,0.1126,0.895
bot,0,bot_0,Lucian,21,0.0451,0.0562,0.802
bot,0,bot_0,Corki,32,0.0687,0.0881,0.779
bot,0,bot_0,Kai'Sa,37,0.0794,0.1034,0.768
bot,0,bot_0,Xayah,21,0.0451,0.0598,0.754
bot,0,bot_0,Jhin,29,0.0622,0.0837,0.744
bot,1,bot_1,Ziggs,28,0.0163,0.0131,1.238
bot,1,bot_1,Corki,176,0.1023,0.0881,1.161
bot,1,bot_1,Jhin,157,0.0913,0.0837,1.091
bot,1,bot_1,Caitlyn,29,0.0169,0.0158,1.065
bot,1,bot_1,Sivir,87,0.0506,0.0478,1.058
bot,1,bot_1,Lucian,100,0.0581,0.0562,1.035
bot,1,bot_1,Varus,209,0.1215,0.1213,1.002
bot,1,bot_1,Yunara,39,0.0227,0.0227,0.999
bot,1,bot_1,Ezreal,193,0.1122,0.1126,0.996
bot,1,bot_1,Miss Fortune,150,0.0872,0.0884,0.986
bot,1,bot_1,Ashe,71,0.0413,0.0421,0.98
bot,1,bot_1,Aphelios,18,0.0105,0.0111,0.947
bot,1,bot_1,Xayah,97,0.0564,0.0598,0.944
bot,1,bot_1,Kai'Sa,165,0.0959,0.1034,0.928
bot,1,bot_1,Jinx,31,0.018,0.0194,0.928
bot,1,bot_1,Senna,40,0.0233,0.0251,0.927
bot,1,bot_1,Kalista,63,0.0366,0.0406,0.901
bot,1,bot_1,Zeri,34,0.0198,0.0227,0.871
bot,2,bot_2,Tristana,17,0.0146,0.0078,1.885
bot,2,bot_2,Aphelios,17,0.0146,0.0111,1.325
bot,2,bot_2,Yunara,32,0.0276,0.0227,1.214
bot,2,bot_2,Kai'Sa,144,0.124,0.1034,1.2
bot,2,bot_2,Xayah,82,0.0706,0.0598,1.182
bot,2,bot_2,Zeri,30,0.0258,0.0227,1.138
bot,2,bot_2,Jinx,24,0.0207,0.0194,1.064
bot,2,bot_2,Ezreal,137,0.118,0.1126,1.048
bot,2,bot_2,Lucian,67,0.0577,0.0562,1.027
bot,2,bot_2,Varus,140,0.1206,0.1213,0.994
bot,2,bot_2,Jhin,94,0.081,0.0837,0.968
bot,2,bot_2,Miss Fortune,98,0.0844,0.0884,0.954
bot,2,bot_2,Kalista,42,0.0362,0.0406,0.89
bot,2,bot_2,Sivir,49,0.0422,0.0478,0.883
bot,2,bot_2,Corki,87,0.0749,0.0881,0.85
bot,2,bot_2,Senna,23,0.0198,0.0251,0.789
bot,2,bot_2,Caitlyn,14,0.0121,0.0158,0.762
bot,2,bot_2,Ashe,36,0.031,0.0421,0.736
jng,0,jng_0,Ivern,14,0.017,0.0078,2.186
jng,0,jng_0,Maokai,58,0.0705,0.035,2.012
jng,0,jng_0,Sejuani,122,0.1482,0.0916,1.619
jng,0,jng_0,Vi,95,0.1154,0.0979,1.179
jng,0,jng_0,Nidalee,15,0.0182,0.0165,1.107
jng,0,jng_0,Xin Zhao,128,0.1555,0.1586,0.98
jng,0,jng_0,Skarner,60,0.0729,0.0763,0.955
jng,0,jng_0,Zyra,13,0.0158,0.0177,0.894
jng,0,jng_0,Pantheon,55,0.0668,0.0787,0.849
jng,0,jng_0,Wukong,67,0.0814,0.0961,0.847
jng,0,jng_0,Nocturne,25,0.0304,0.0359,0.846
jng,0,jng_0,Jarvan IV,26,0.0316,0.0389,0.812
jng,0,jng_0,Lillia,19,0.0231,0.0302,0.764
jng,0,jng_0,Naafiri,35,0.0425,0.0566,0.752
jng,0,jng_0,Poppy,17,0.0207,0.0284,0.726
jng,0,jng_0,Trundle,27,0.0328,0.0473,0.694
jng,0,jng_0,Viego,13,0.0158,0.032,0.493
jng,1,jng_1,Zed,18,0.0105,0.006,1.759
jng,1,jng_1,Nocturne,77,0.0451,0.0359,1.254
jng,1,jng_1,Viego,68,0.0398,0.032,1.242
jng,1,jng_1,Poppy,59,0.0345,0.0284,1.214
jng,1,jng_1,Naafiri,113,0.0661,0.0566,1.169
jng,1,jng_1,Trundle,91,0.0532,0.0473,1.126
jng,1,jng_1,Pantheon,150,0.0878,0.0787,1.115
jng,1,jng_1,Skarner,140,0.0819,0.0763,1.073
jng,1,jng_1,Lillia,53,0.031,0.0302,1.026
jng,1,jng_1,Jarvan IV,67,0.0392,0.0389,1.008
jng,1,jng_1,Wukong,164,0.096,0.0961,0.999
jng,1,jng_1,Xin Zhao,270,0.158,0.1586,0.996
jng,1,jng_1,Lee Sin,24,0.014,0.0159,0.885
jng,1,jng_1,Vi,143,0.0837,0.0979,0.855
jng,1,jng_1,Sejuani,129,0.0755,0.0916,0.824
jng,1,jng_1,Nidalee,23,0.0135,0.0165,0.818
jng,1,jng_1,Zyra,22,0.0129,0.0177,0.729
jng,1,jng_1,Maokai,39,0.0228,0.035,0.652
jng,2,jng_2,Lee Sin,22,0.0272,0.0159,1.714
jng,2,jng_2,Zyra,24,0.0297,0.0177,1.68
jng,2,jng_2,Nidalee,17,0.021,0.0165,1.276
jng,2,jng_2,Lillia,29,0.0358,0.0302,1.186
jng,2,jng_2,Jarvan IV,37,0.0457,0.0389,1.175
jng,2,jng_2,Wukong,90,0.1112,0.0961,1.158
jng,2,jng_2,Vi,89,0.11,0.0979,1.124
jng,2,jng_2,Trundle,40,0.0494,0.0473,1.046
jng,2,jng_2,Xin Zhao,132,0.1632,0.1586,1.029
