,top,jng,mid,bot,sup,rata-rata
dpm,0.6707071765891518,0.6589049809482929,0.6825215185120371,0.7857708310645534,0.5556401526152795,0.6707089319458629
damageshare,0.5230282996383941,0.6935081258438641,0.4472491526130009,0.7290246217511892,0.3640396401907578,0.5513699680074413
earnedgoldshare,0.6905024310018353,0.8369738396465368,0.4172196980433814,0.8107807725221661,0.5960737457197214,0.6703100973867281
cspm,0.8476659881992962,0.8527703170365378,0.6621736341718014,0.8756036187339937,0.8653397412531131,0.8207106598789483
jungle_cs_share,0.8318702344159787,0.6025635308535098,0.7721665357959878,0.7445860182042912,0.25557099537565653,0.6413514629290848
deaths_pm,0.7528422725964751,0.6319941514690919,0.6721097678128971,0.6626722389356008,0.7633304453475668,0.6965897752323263
death_share,0.6044424138827299,0.67803174998098,0.575687163876454,0.6283123852317042,0.8315967431846096,0.6636140912312956
dmg_taken_pm,0.7083201189484493,0.6967090276439787,0.6549450918704639,0.5965243793005416,0.7028005838378518,0.671859840320257
kp,0.12291070774065782,0.23051842678462314,0.22570189110617267,0.15967838977564386,0.29274951750738254,0.206311786582896
kill_ratio,0.6021116674681203,0.4764143224140783,-0.2305859687400494,0.6671632997158622,0.2827448080709207,0.35956962578578644
wpm,0.9577691763447079,0.9438834766618095,0.8776728327159543,0.9527497805299647,0.9088277082274804,0.9281805948959834
wcpm,0.8904957609773971,0.70767388755521,0.8185553478423868,0.8569110808740116,0.8547147851580297,0.8256701724814072
